Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
"The Conquest of Cool: Business Culture, Counterculture, and the Rise of Hip Consumerism",['Thomas Frank'],1997,6,3.82,645
"The Business of Dying (Dennis Milne, #1)",['Simon Kernick'],2002,27,3.97,"2,014"
"The Answer: Grow Any Business, Achieve Financial Freedom, and Live an Extraordinary Life","['John Assaraf', 'Murray Smith']",2008,17,4.10,954
"Single Malt Murder (Whisky Business Mystery, #1)",['Melinda Mullet'],2017,8,3.88,"1,234"
How to Succeed in Business Without Really Crying,['Carol Leifer'],2014,10,3.40,731
Make Your Mark: The Creative’s Guide to Building a Business With Impact,['Jocelyn K. Glei'],2014,5,3.96,969
Boss Up!: This Ain’t Your Mama’s Business Book,['Lindsay Teague Moreno'],2019,9,4.45,530
Ain't Nobody's Business If I Do,['Valerie Wilson Wesley'],1999,5,4.10,"1,285"
HBR's 10 Must Reads for New Managers,"['Harvard Business Review', 'Linda A. Hill', 'Herminia Ibarra']",0,6,4.04,268
Bill Gates: The Life and Business Lessons of Bill Gates,['George Ilian'],2015,2,3.93,737
"Craft, Inc.: Turn Your Creative Hobby into a Business",['Meg Mateo Ilasco'],2007,6,3.87,"1,140"
Amelia Bedelia Means Business (Amelia Bedelia Chapter Books #1),"['Herman Parish', 'Lynne Avril']",2013,11,4.18,"1,668"
"HBR's 10 Must Reads on Innovation (with featured article “The Discipline of Innovation,” by Peter F. Drucker)",['Harvard Business School Press'],2013,6,3.79,289
7 Powers: The Foundations of Business Strategy,['Hamilton Wright Helmer'],0,3,4.25,297
"Climate of Hope: How Cities, Businesses, and Citizens Can Save the Planet","['Michael R. Bloomberg', 'Carl Pope']",2017,3,4.13,844
"Click Millionaires: Work Less, Live More with an Internet Business You Love",['Scott Fox'],2012,7,3.61,698
Sixty Days (Based On A True Story): A Business Trip Becomes His Worst Nightmare,['Hernán Jaén'],0,4,4.62,8
Re-Imagine!: Business Excellence in a Disruptive Age,['Tom Peters'],1989,16,4.13,"1,176"
"Murder is a Family Business (The Alvarez Family Murder Mystery Series, #1)",['Heather Haven'],2011,8,3.79,828
"Playing Dirty (Risky Business, #2)",['Tiffany Snow'],2015,13,4.18,"1,334"
Unfinished Business (Sam Prichard #17),['David  Archer'],0,1,4.51,724
Management Tips: From Harvard Business Review,['Harvard Business School Press'],2011,14,3.89,315
Freedom's Forge: How American Business Built the Arsenal of Democracy That Won World War II,['Arthur Herman'],2012,8,4.30,"1,187"
"Cold Hard Truth: On Business, Money & Life","[""Kevin O'Leary""]",2011,4,3.79,998
The Mind of the Strategist: The Art of Japanese Business,['Kenichi Ohmae'],1982,16,4.04,509
Grand Opening: A Family Business Novel,"['Carl Weber', 'Eric Pete']",2015,10,4.56,"1,126"
My Movie Business: A Memoir,['John Irving'],1999,21,3.35,"1,252"
Witch's Business,['Diana Wynne Jones'],1973,13,3.60,"1,207"
Dhandha: How Gujaratis Do Business,"['Shobha Bondre', 'Shalaka Walimbe']",2013,4,3.85,791
The Meat Racket: The Secret Takeover of America's Food Business,['Christopher   Leonard'],2014,6,4.04,626
Harvard Business Review on Entrepreneurship,"['Harvard Business Review', 'Harvard Business School Press']",1999,5,3.87,152
Windfall: The Booming Business of Global Warming,['McKenzie Funk'],2014,5,4.07,493
"Co-Active Coaching: Changing Business, Transforming Lives","['Henry Kimsey-House', 'Karen Kimsey-House', 'Phillip Sandahl']",2007,19,4.17,"1,316"
"The Million-Dollar, One-Person Business: Make Great Money. Work the Way You Like. Have the Life You Want.",['Elaine Pofeldt'],2018,1,3.61,845
Dino: Living High in the Dirty Business of Dreams,['Nick Tosches'],1992,9,4.06,883
Overbooked: The Exploding Business of Travel and Tourism,['Elizabeth Becker'],2013,7,3.80,690
Business Studies Class 12 - CBSE 2019,['Poonam Gandhi'],0,1,3.65,163
Business Studies Class - 11,['Sandeep Garg'],0,1,3.83,229
Perfect Harmony: Unfinished Business / Local Hero,['Nora Roberts'],1992,2,3.85,880
"Accounting, the Basis for Business Decisions","['Robert F. Meigs', 'Mary A. Meigs', 'Mark S. Bettner']",1962,28,4.03,384
Under New Management: How Leading Organizations Are Upending Business as Usual,['David Burkus'],2016,10,3.91,346
The Fashion Designer Survival Guide: Start and Run Your Own Fashion Business,"['Mary Gehlhar', 'Diane Von Furstenberg', 'Zac Posen']",2005,4,3.93,309
"Thirsty for Payback (Sinful Business, #1)",['Marie Astor'],2014,1,3.71,784
Billion-Dollar Lessons: What You Can Learn from the Most Inexcusable Business Failures of the Last 25 Years,"['Paul B. Carroll', 'Chunka Mui']",2008,16,3.86,578
The Gunning of America: Business and the Making of American Gun Culture,['Pamela Haag'],2016,7,3.29,261
"Nora Roberts Mystery Box Set: Mind Over Matter\Treasures Lost, Treasures Found\The Art of Deception\Risky Business",['Nora Roberts'],0,2,4.25,465
Merchants of Truth: The Business of Facts and The Future of News,['Jill Abramson'],0,10,3.69,451
"Diversity, Inc.: The Failed Promise of a Billion-Dollar Business",['Pamela Newkirk'],2019,6,3.83,133
Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,"['Gleb Tsipursky', 'Howard J. Ross']",2019,5,4.50,115
HBR Guide to Better Business Writing,['Bryan A. Garner'],2005,13,4.05,817
Minding the Store: A Big Story about a Small Business,"['Julie Gaines', 'Ben Lenovitz']",2018,2,3.82,300
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,['Jim Koch'],2016,7,4.27,838
The Miracle Morning for Entrepreneurs: Elevate Yourself to Elevate Your business,"['Hal Elrod', 'Cameron Herold', 'Honoree Corder']",0,3,4.34,451
The Go-Giver Leader: A Little Story About What Matters Most in Business,"['Bob Burg', 'John David Mann']",2016,9,4.44,597
"Pushing Up Daisies (Dirty Business, #1)",['Rosemary  Harris'],2008,10,3.46,"1,388"
"Engage: The Complete Guide for Brands and Businesses to Build, Cultivate, and Measure Success in the New Web","['Brian Solis', 'Ashton Kutcher']",2010,14,3.86,"1,010"
"Engage: The Complete Guide for Brands and Businesses to Build, Cultivate, and Measure Success in the New Web","['Brian Solis', 'Ashton Kutcher']",2010,14,3.86,"1,010"
Platform Scale: How an emerging business model helps startups build large empires with minimum investment,['Sangeet Paul Choudary'],2015,2,4.23,411
Clockwork: Design Your Business to Run Itself,['Mike Michalowicz'],0,5,4.27,628
Entrepreneur Revolution: How to Develop Your Entrepreneurial Mindset and Start a Business That Works,['Daniel Priestley'],2013,11,4.07,761
Introduction to Business Management,"['B.J. Erasmus', 'S. Rudansky-Kloppers', 'J. Strydom']",2013,1,3.94,133
"Kiss, Bow, Or Shake Hands: The Bestselling Guide to Doing Business in More Than 60 Countries","['Terri Morrison', 'Wayne A. Conway']",1994,4,4.07,545
The Mormon Way of Doing Business: Leadership and Success Through Faith and Family,['Jeff Benedict'],2007,17,3.86,"1,125"
HBR Guide to Finance Basics for Managers,['Harvard Business School Press'],2011,11,3.90,325
HBR Guide to Managing Stress at Work (HBR Guide Series),['Harvard Business School Press'],2013,10,3.72,144
"Tao of Charlie Munger: A Compilation of Quotes from Berkshire Hathaway's Vice Chairman on Life, Business, and the Pursuit of Wealth With Commentary by David Clark",['David Clark'],0,2,4.04,768
Success Is a Choice: Ten Steps to Overachieving in Business and Life,"['Rick Pitino', 'Bill Reynolds']",1997,9,3.98,"1,064"
Strategic Storytelling: How to Create Persuasive Business Presentations,['Dave McKinsey'],2014,2,3.60,460
"A Beautiful Constraint: How to Transform Your Limitations Into Advantages, and Why It's Everyone's Business","['Adam Morgan', 'Mark Barden']",2004,4,3.99,449
Sneaker Wars: The Enemy Brothers Who Founded Adidas and Puma and the Family Feud That Forever Changed the Business of Sport,['Barbara Smit'],2005,10,3.85,779
The Bootstrapper's Bible: How to Start and Build a Business with a Great Idea and (Almost) No Money,['Seth Godin'],1998,2,3.97,472
Difference: The one-page method for reimagining your business and reinventing your marketing,['Bernadette Jiwa'],2014,1,3.89,764
"The Vision Driven Leader: 10 Questions to Focus Your Efforts, Energize Your Team, and Scale Your Business",['Michael Hyatt'],0,4,4.38,382
How: Why How We Do Anything Means Everything...in Business,['Dov Seidman'],2007,30,3.58,515
"The Right-Brain Business Plan: A Creative, Visual Map for Success","['Jennifer Lee', 'Chris Guillebeau']",2011,4,4.00,647
Unfinished Business: What the Dead Can Teach Us About Life,['James Van Praagh'],2009,19,4.25,"1,283"
Applied Artificial Intelligence: A Handbook For Business Leaders,"['Mariya Yao', 'Adelyn Zhou', 'Marlene Jia']",0,2,3.62,304
The Enneagram in Love and Work: Understanding Your Intimate and Business Relationships,"['Helen Palmer', 'David N. Daniels']",0,4,3.92,799
"Bambi vs. Godzilla: On the Nature, Purpose, and Practice of the Movie Business",['David Mamet'],2007,11,3.49,"1,045"
Business Studies for Class 12,['Sandeep Garg'],0,1,4.01,212
"HBR's 10 Must Reads 2015: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus McKinsey Award–Winning article ""The Focused Leader"") (HBR’s 10 Must Reads)",['Harvard Business Review'],2015,7,4.15,110
HBR Guide to Coaching Employees (HBR Guide Series),['Harvard Business Review'],2014,7,3.92,213
"Getting Rough (Monkey Business Trio, #2)",['C.L. Parker'],2016,11,4.04,627
"Play to Win (Risky Business, #3)",['Tiffany Snow'],2016,10,4.08,"1,047"
Driven: How To Succeed In Business And In Life,['Robert Herjavec'],2010,4,3.69,717
The Myth of the Robber Barons: A New Look at the Rise of Big Business in America,['Burton W. Folsom Jr.'],1991,3,4.22,645
The End of Competitive Advantage: How to Keep Your Strategy Moving as Fast as Your Business,['Rita Gunther McGrath'],2013,6,3.76,400
"Bad Business (Bad Boys of Sports, #2)",['Nicole Edwards'],2018,2,4.11,699
"Then There Were Nun (Nun of Your Business Mysteries, #1)",['Dakota Cassidy'],2018,7,3.95,909
The Business of Being a Writer,['Jane Friedman'],2018,3,4.47,421
It's Not about You: A Little Story about What Matters Most in Business,"['Bob Burg', 'John David Mann']",2011,10,4.17,705
"The Business Blockchain: Promise, Practice, and Application of the Next Internet Technology","['William Mougayar', 'Vitalik Buterin']",2016,8,3.46,773
The Ultimate Sales Machine: Turbocharge Your Business with Relentless Focus on 12 Key Strategies,"['Chet Holmes', 'Jay Conrad Levinson', 'Michael E. Gerber']",2007,26,3.98,"7,309"
"Devil's Business (Black London, #4)",['Caitlin Kittredge'],2011,1,3.76,647
Narrative and Numbers: The Value of Stories in Business,['Aswath Damodaran'],0,5,4.07,350
Business Secrets from the Bible: Spiritual Success Strategies for Financial Abundance,['Daniel Lapin'],2014,6,4.33,457
Managing Projects (HBR 20-Minute Manager Series),['Harvard Business School Press'],2014,8,3.75,184
Girls Who Run the World: Thirty CEOs Who Mean Business,"['Diana Kapp', 'Bijou Karman']",2019,5,4.12,129
Effective Business Communications,"['Herta A. Murphy', 'Jane P. Thomas']",1997,1,4.18,278
Cable Cowboy: John Malone and the Rise of the Modern Cable Business,['Mark Robichaux'],2002,8,4.27,822
HBR Guide to Getting the Mentoring You Need (HBR Guide Series),['Harvard Business School Press'],2011,7,3.80,134
A Witchy Business (Harper Grant Mystery #1),['D.S. Butler'],0,2,4.06,697
"Prickly Business (Portland Pack Chronicles, #1)","['Piper Vaughn', 'Kenzie Cade']",2015,7,3.66,"1,155"
Essentials of Business Environment,['K. Aswathappa'],2009,6,3.90,201
Business Communication,['Harvard Business School Press'],2003,5,3.72,104
Hit Men: Power Brokers and Fast Money Inside the Music Business,"['Fredric Dannen', 'Erroll McDonald']",1990,9,3.94,784
"We Are Robin, Volume 1: The Vigilante Business","['Lee Bermejo', 'Jorge Corona', 'Khary Randolph']",2016,5,3.44,649
"Work for Money, Design for Love: Answers to the Most Frequently Asked Questions about Starting and Running a Successful Design Business",['David  Airey'],2012,3,4.25,390
The Family Business (Alison Brownstone #4),"['Judith Berens', 'Martha Carr', 'Michael Anderle']",0,1,4.53,628
Work Wife: The Power of Female Friendship to Drive Successful Businesses,"['Erica Cerulo', 'Claire Mazur']",2019,3,3.74,219
Spooky Business (Jane Garbo Mysteries Book 1),['Addison Creek'],2017,2,4.07,474
Strictly Business,['Aubrianna Hunter'],2012,3,3.73,"1,075"
Harvard Business Review on Making Smart Decisions,['Harvard Business School Press'],2007,8,3.91,122
"Badd Business (Badd Brothers, #10)",['Jasinda Wilder'],2018,3,4.15,"1,097"
"Boss Bitch: A Simple 12-Step Plan for Taking Charge of Your Life, Your Career, and Your Business",['Nicole Lapin'],0,3,3.81,434
Business Mathematics and Statistics,['J.K. Thukral'],2014,1,3.98,91
Business or Pleasure?,['Raquel Belle'],2019,1,4.12,312
"Blockbusters: Hit-making, Risk-taking, and the Big Business of Entertainment",['Anita Elberse'],2013,23,3.74,612
Grown Folks Business,['Victoria Christopher Murray'],2003,11,4.37,878
Frenemies: The Epic Disruption of the Ad Business,['Ken Auletta'],0,2,3.43,456
Case Studies Mentor in Business Studies Class- XII,['Alka Dhawan'],0,1,3.75,122
How I Did It: Lessons from the Front Lines of Business,"['Harvard Business School Press', 'Daniel McGinn']",2014,3,3.96,49
Start Your Own Business: The Only Book You'll Ever Need,['Entrepreneur Press'],2010,2,3.94,334
"Influencer Fast Track: 10X Your Marketing & Branding for Coaches, Consultants, Professionals and Entrepreneurs!: Grow your Brand & Business, Attract Dream",['Gundi Gabrielle'],0,1,3.99,161
Raising the Bar: Integrity and Passion in Life and Business: The Story of Clif Bar Inc.,"['Gary Erickson', 'Lois Ann Lorentzen']",2004,10,3.90,566
"A Deadly Business (Mia Quinn, #2)","['Lis Wiehl', 'April Henry']",2014,12,4.00,"1,176"
"American Amnesia: Business, Government, and the Forgotten Roots of Our Prosperity","['Jacob S. Hacker', 'Paul Pierson']",2016,6,4.18,518
"The Art of the Steal: How to Protect Yourself and Your Business from Fraud, America's #1 Crime",['Frank W. Abagnale'],2002,18,3.78,736
"Sons of the Profits: There's No Business Like Grow Business. The Seattle Story, 1851-1901",['William Speidel'],1967,5,3.46,603
Eat Mor Chikin: Inspire More People: Doing Business the Chick-fil-A Way,['S. Truett Cathy'],2002,2,4.04,694
Brewing Up a Business: Adventures in Entrepreneurship from the Founder of Dogfish Head Craft Brewery,['Sam Calagione'],2005,14,3.75,"1,338"
"The Golden Passport: Harvard Business School, the Limits of Capitalism, and the Moral Failure of the MBA Elite",['Duff McDonald'],2017,8,3.31,259
Business for the 21st Century,"['Steven J. Skinner', 'John M. Ivancevich']",1992,2,4.04,211
"Barrel-Aged Stout and Selling Out: Goose Island, Anheuser-Busch, and How Craft Beer Became Big Business",['Josh Noel'],2018,9,4.38,677
Dying for a Paycheck: Why the American Way of Business Is Injurious to People and Companies,['Jeffrey Pfeffer'],0,8,3.70,388
"Me, Inc.: Build an Army of One, Unleash Your Inner Rock God, Win in Life and Business",['Gene Simmons'],2014,8,3.71,762
Frisky Business,['Tawna Fenske'],2014,5,3.62,550
The Ten Commandments for Business Failure,['Donald R. Keough'],2008,16,4.10,483
Digital Transformation Playbook: Rethink Your Business for the Digital Age,['David L. Rogers'],2016,6,4.14,506
Car Guys vs. Bean Counters: The Battle for the Soul of American Business,['Bob Lutz'],2011,3,3.75,950
Uncommon Service: How to Win by Putting Customers at the Core of Your Business,"['Frances Frei', 'Anne Morriss']",2012,3,4.03,496
Discovering the Soul of Service: The Nine Drivers of Sustainable Business Success,['Leonard L. Berry'],1999,8,4.06,363
Men of Steel: India's Business leaders in candid conversation,['Vir Sanghvi'],2007,4,3.75,816
How to Be a Power Connector: The 5+50+100 Rule for Turning Your Business Network Into Profits,['Judy Robinett'],2014,6,4.07,335
The Strategy-Focused Organization: How Balanced Scorecard Companies Thrive in the New Business Environment,"['Robert S. Kaplan', 'David P. Norton']",2000,10,3.94,493
"Bitter Root, Vol. 1: Family Business","['David F. Walker', 'Chuck Brown', 'Sanford Greene']",2019,3,3.93,773
Mindful Work: How Meditation Is Changing Business from the Inside Out,['David Gelles'],2011,11,3.78,405
"Hotbox: Inside Catering, the Food World's Riskiest Business","['Matt Lee', 'Ted Lee']",0,4,3.82,584
Frisky Business,['Clodagh Murphy'],2012,8,3.76,893
HBR's 10 Must Reads 2017: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article “What Is Disruptive Innovation?”) (HBR’s 10 Must Reads),['Harvard Business Review'],0,5,3.92,170
The Hidden Tools of Comedy: The Serious Business of Being Funny,['Steve  Kaplan'],2013,4,4.25,582
Leading Digital: Turning Technology into Business Transformation,"['George Westerman', 'Didier Bonnet', 'Andrew McAfee']",2014,3,3.83,590
The Family Business 4,"['Carl Weber', 'C.N. Phillips']",2018,8,4.54,832
Merchants of Culture: The Publishing Business in the Twenty-First Century,['John Brookshire Thompson'],2010,12,3.82,602
The Art of the Pitch: Persuasion and Presentation Skills that Win Business,['Peter Coughter'],2012,6,3.88,399
Risky Business (Bomb Squad #1),['Melissa Cutler'],2014,4,3.67,335
Risky Business (Bomb Squad #1),['Melissa Cutler'],2014,4,3.67,335
Taking Care of Business (Dynasties: The Elliotts #2),['Brenda Jackson'],2006,18,4.01,963
The Most Important Thing Illuminated: Uncommon Sense for the Thoughtful Investor,"['Howard  Marks', 'Paul Johnson', 'Bruce C.N. Greenwald']",2011,1,4.34,"8,028"
Surrounded by Psychopaths: How to Protect Yourself from Being Manipulated and Exploited in Business,['Thomas Erikson'],2017,23,3.39,"1,153"
I'll Make You an Offer You Can't Refuse: Insider Business Tips from a Former Mob Boss,['Michael Franzese'],2009,11,3.84,296
Warren Buffett's Management Secrets: Proven Tools for Personal and Business Success,"['Mary Buffett', 'David Clark']",2009,19,3.70,862
"Killing Is My Business (Protected By The Damned, #2)","['Michael Todd', 'Michael Anderle', 'Laurie Starkey']",2018,3,4.40,639
Startupland: How Three Guys Risked Everything to Turn an Idea Into a Global Business,"['Mikkel Svane', 'Carlye Adler']",2014,5,4.02,665
Business for the Glory of God: The Bible's Teaching on the Moral Goodness of Business,['Wayne Grudem'],2003,11,3.92,772
"Girl On Fire: How to Choose Yourself, Burn the Rule Book, and Blaze Your Own Trail in Life and Business",['Cara Alwill Leyba'],0,2,4.41,338
HBR's 10 Must Reads 2018: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article “Customer Loyalty Is Overrated”) (HBR’s 10 Must Reads),['Harvard Business Review'],0,3,3.81,117
"The Social Media Bible: Tactics, Tools, and Strategies for Business Success","['Lon Safko', 'David K. Brake']",2009,22,3.72,705
Surrounded by Idiots: The Four Types of Human Behavior and How to Effectively Communicate with Each in Business,['Thomas Erikson'],2014,7,3.29,"8,688"
Thinking in New Boxes: A New Paradigm for Business Creativity,"['Luc de Brabandere', 'Alan Iny']",1990,12,3.66,370
Reinventing Fire: Bold Business Solutions for the New Energy Era,"['Amory B. Lovins', 'Rocky Mountain Institute']",2011,4,4.00,298
Looptail: How One Company Changed the World by Reinventing Business,['Bruce Poon Tip'],2013,18,4.00,603
The Visual MBA: Two Years of Business School Packed into One Priceless Book of Pure Awesomeness,['Jason Barron'],2019,8,3.84,531
Presentations (HBR 20-Minute Manager Series),['Harvard Business School Press'],2014,8,3.61,120
The Cost of These Dreams: Sports Stories and Other Serious Business,['Wright Thompson'],0,6,4.31,561
The Strategist: Be the Leader Your Business Needs,['Cynthia Montgomery'],2012,16,3.89,834
Perfect Pitch: The Art of Selling Ideas and Winning New Business,['Jon Steel'],2006,4,4.05,519
"Certain to Win: The Strategy of John Boyd, Applied to Business",['Chet Richards'],2004,5,4.17,412
The Visual MBA: Two Years of Business School Packed into One Priceless Book of Pure Awesomeness,['Jason Barron'],2019,8,3.84,531
Macrowikinomics: Rebooting Business and the World,"['Don Tapscott', 'Anthony D. Williams']",2010,23,3.70,608
Influence and Persuasion (HBR Emotional Intelligence Series),['Harvard Business Review'],0,5,3.85,188
How to Work From Home and Make Money in 2017: 13 Proven Home-Based Businesses You Can Start Today (Work from Home Series: Book 1),['Sam Kerns'],0,1,3.37,155
Content Machine: Use Content Marketing to Build a 7-figure Business With Zero Advertising,"['Dan  Norris', 'Neil Patel']",2015,3,3.98,411
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),['Harvard Business Review'],0,4,3.97,165
The Purpose Is Profit: The Truth about Starting and Building Your Own Business,"['Ed ""Skip"" McLaughlin', 'Wyn Lydecker']",0,4,3.92,73
"Meaningful Work: A Quest to Do Great Business, Find Your Calling, and Feed Your Soul","['Shawn Askinosie', 'Lawren Askinosie']",0,3,3.96,207
"Unfinished Business (Angela Panther, #1)",['Carolyn Ridder Aspenson'],2013,13,4.01,549
The Innovation Stack: Building an Unbeatable Business One Crazy Idea at a Time,['Jim McKelvey'],0,1,4.21,284
"The Business of Blood (The Business of Blood, #1)",['Kerrigan Byrne'],2019,7,4.30,528
Enterprise Architecture As Strategy: Creating a Foundation for Business Execution,"['Jeanne W. Ross', 'Peter Weill', 'David C.  Robertson']",2006,7,3.94,621
"What Editors Do: The Art, Craft, and Business of Book Editing","['Peter Ginna', 'Jonathan Karp', 'Gregory M. Britton']",2017,4,4.14,340
Elon Musk: 50 Life and Business Lessons from Elon Musk,['George Ilian'],0,1,3.95,710
The Business of Heaven: Daily Readings,['C.S. Lewis'],1984,20,4.20,439
The Visible Hand: The Managerial Revolution in American Business,['Alfred D. Chandler Jr.'],1977,3,4.03,250
The Business Secrets of Drug Dealing,"['Matt Taibbi', 'Huey Carmichael']",0,1,3.88,68
Business for Authors: How to Be an Author Entrepreneur,['Joanna Penn'],2014,4,4.45,439
HBR's 10 Must Reads on Collaboration,['Harvard Business School Press'],2013,9,3.69,133
"Red Hood/Arsenal, Vol. 1: Open for Business","['Scott Lobdell', 'Denis Medri', 'Paolo Pantalena']",2016,2,3.48,353
The New Capitalist Manifesto: Building a Disruptively Better Business,['Umair Haque'],2011,3,3.85,388
HBR Guide to Emotional Intelligence (HBR Guide Series),['Harvard Business Review'],0,2,3.95,170
"Serve No Master: How to Escape the 9-5, Start up an Online Business, Fire Your Boss and Become a Lifestyle Entrepreneur or Digital Nomad",['Jonathan     Green'],0,4,3.71,269
"Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace (3 Off the Tee, #1)",['Lorii Myers'],2011,3,4.08,91
Ghostly Business (A Harper Harlow Mystery#15),['Lily Harper Hart'],0,1,4.67,540
"The Best Medicine (Strictly Business, #1)",['Elizabeth Hayley'],2015,3,3.91,332
Words for Pictures: The Art and Business of Writing Comics and Graphic Novels,"['Brian Michael Bendis', 'Joe Quesada']",2014,3,4.11,683
The One Hour China Book: Two Peking University Professors Explain All of China Business in Six Short Stories,"['Jeffrey Towson', 'Jonathan Woetzel']",2014,2,4.08,565
Start Your Own Business: The Only Startup Book You'll Ever Need,"['The Staff of Entrepreneur Media, Inc']",2015,4,4.14,171
24-Hour Business Plan Template: How to Validate Your Startup Ideas and Plan Your Business Venture,['Steven Fies'],2015,2,3.77,98
Public Administration The Business of Government,['Jose Leveriza'],2008,2,3.90,182
"Coming Clean (Monkey Business Trio, #3)",['C.L. Parker'],2016,8,4.11,401
The E-Myth Enterprise: How to Turn A Great Idea Into a Thriving Business,['Michael E. Gerber'],2009,18,3.68,406
Boss Life: Surviving My Own Small Business,['Paul Downs'],2015,5,4.17,396
No B.S. Direct Marketing: The Ultimate No Holds Barred Kick Butt Take No Prisoners Direct Marketing for Non-Direct Marketing Businesses,['Dan S. Kennedy'],1994,10,4.11,554
The Creative Entrepreneur: A DIY Visual Guidebook for Making Business Ideas Real,['Lisa Sonora'],2008,4,4.09,369
Outcomes Over Output: Why customer behavior is the key metric for business success,['Josh Seiden'],0,3,4.40,378
"500 Social Media Marketing Tips: Essential Advice, Hints and Strategy for Business: Facebook, Twitter, Pinterest, Google+, YouTube, Instagram, LinkedIn, and More!",['Andrew Macarthy'],2012,7,3.69,708
Funky Business: Talent Makes Capital Dance,"['Jonas Ridderstråle', 'Kjell Nordström']",2000,13,3.88,924
"Temp: How American Work, American Business, and the American Dream Became Temporary",['Louis Hyman'],2018,5,3.94,191
Harvard Business Review on Building Better Teams,['Harvard Business School Press'],2011,3,3.95,73
There's No Business,"['Charles Bukowski', 'Robert Crumb']",1984,7,3.81,669
"Backroads Boss Lady: How a Small-Town Girl Built a Big-Time Business by  Staying True to Herself, Her Family, and Friends","['Jessi Roberts', 'Bret Witter']",0,5,4.11,57
"HBR's 10 Must Reads 2020: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article ""How CEOs Manage Time"" by Michael E. Porter and Nitin Nohria)",['Harvard Business Review'],2019,3,3.78,108
"HBR's 10 Must Reads 2016: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus McKinsey Award–Winning article ""Profits Without Prosperity”) (HBR’s 10 Must Reads)",['Harvard Business Review'],2015,6,4.09,116
BUSINESS STUDIES A TEXTBOOK FOR CLASS-XI,['SUBHASH DEY'],0,1,3.90,82
The Dragon Business,['Kevin J. Anderson'],2013,9,3.66,482
"The Power of Eye Contact: Your Secret for Success in Business, Love, and Life",['Michael Ellsberg'],2010,1,3.62,492
Dealing with Difficult People (HBR Emotional Intelligence Series),['Harvard Business Review'],2007,5,3.68,161
"And Business Is Good (Protected By The Damned, #3)","['Michael Todd', 'Michael Anderle', 'Laurie Starkey']",2018,3,4.46,559
Outside In: The Power of Putting Customers at the Center of Your Business,"['Harley Manning', 'Kerry Bodine']",2012,13,3.88,618
Superconnector: Stop Networking and Start Building Business Relationships that Matter,"['Scott Gerber', 'Ryan Paugh']",2018,6,3.68,192
"Business (Phoenix, #1)",['Zoe  Danielle'],2015,1,4.05,174
The Leader's Guide to Storytelling: Mastering the Art and Discipline of Business Narrative,['Stephen Denning'],2005,18,3.60,332
Terror is Our Business: Dana Roberts' Casebook of Horrors,"['Joe R. Lansdale', 'Kasey Lansdale', 'Patrick Beltran']",2018,2,3.78,90
Self-Awareness (HBR Emotional Intelligence Series),"['Harvard Business Review', 'Marcus Buckingham', 'Robert S. Kaplan']",0,5,3.84,166
Whiskey Business,['Avon Gale'],2016,5,3.74,835
"Superfans: The Easy Way to Stand Out, Grow Your Tribe, And Build a Successful Business",['Pat   Flynn'],0,3,4.30,362
"The Making of Jonty Bloom (Unfinished Business, #1)",['Barbara Elsborg'],2020,3,4.33,869
The 100 Absolutely Unbreakable Laws of Business Success,['Brian Tracy'],2000,29,4.06,469
What It Takes: How I Built a $100 Million Business Against the Odds,['Raegan Moya-Jones'],2019,5,4.09,116
"The Ultra Mindset: An Endurance Champion's 8 Core Principles for Success in Business, Sports, and Life","['Travis Macy', 'John Hanc']",2015,5,3.88,544
"Pulled Under (Pleasure Before Business, #3)",['Kelli Ireland'],2015,8,4.09,65
The Power of Body Language: How to Succeed in Every Business and Social Encounter,['Tonya Reiman'],2007,1,3.73,636
Managing Time (HBR 20-Minute Manager Series),['Harvard Business School Press'],2006,15,3.53,321
"Fierce Leadership: A Bold Alternative to the Worst ""Best"" Practices of Business Today",['Susan Scott'],2009,10,4.00,606
The Best Man: Strictly Business\Kidnapped!\Promises and Vows\Catch Me If You Can!,"['Brenda Jackson', 'Felicia Mason', 'Kayla Perrin']",2003,5,4.37,718
Mean Business on North Ganson Street,['S. Craig Zahler'],2014,11,3.85,539
The Punk Rock of Business: Applying a Punk Rock Attitude in the Modern Business Era,['Jeremy Dale'],0,2,4.03,29
"Once Upon a Power Play (Risky Business, #2)",['Jennifer Bonds'],2015,5,3.94,815
"The Business of Changing the World: How Billionaires, Tech Disrupters, and Social Entrepreneurs Are Transforming the Global Aid Industry",['Raj   Kumar'],2019,5,3.84,86
Manager's Toolkit: The 13 Skills Managers Need to Succeed,['Harvard Business School Press'],2004,7,3.70,141
BABOK. A Guide to Business Analysis Body of Knowledge.,['International Institute of Business Analysis'],0,1,4.27,60
Hacking Leadership: The 11 Gaps Every Business Needs to Close and the Secrets to Closing Them Quickly,['Mike Myatt'],2013,5,3.84,118
